location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Single),,1,5,12,1,1,175.0,0.0,0.0,0.0,01/09/2027,30/11/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Single),,1,13,99,1,1,350.0,0.0,0.0,0.0,01/09/2027,30/11/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Single),,1,0,4,1,1,0.0,0.0,0.0,0.0,01/12/2027,31/12/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Single),,1,5,12,1,1,175.0,0.0,0.0,0.0,01/12/2027,31/12/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Single),,1,13,99,1,1,350.0,0.0,0.0,0.0,01/12/2027,31/12/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Double),,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2027,28/02/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Double),,2,5,12,1,2,75.0,150.0,0.0,0.0,01/01/2027,28/02/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Double),,2,13,99,1,2,150.0,150.0,0.0,0.0,01/01/2027,28/02/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Double),,2,0,4,1,2,0.0,0.0,0.0,0.0,01/03/2027,31/05/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Double),,2,5,12,1,2,75.0,150.0,0.0,0.0,01/03/2027,31/05/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Double),,2,13,99,1,2,150.0,150.0,0.0,0.0,01/03/2027,31/05/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Double),,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2027,30/06/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Double),,2,5,12,1,2,75.0,150.0,0.0,0.0,01/06/2027,30/06/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Double),,2,13,99,1,2,150.0,150.0,0.0,0.0,01/06/2027,30/06/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Double),,2,0,4,1,2,0.0,0.0,0.0,0.0,01/07/2027,31/08/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Double),,2,5,12,1,2,75.0,150.0,0.0,0.0,01/07/2027,31/08/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Double),,2,13,99,1,2,150.0,150.0,0.0,0.0,01/07/2027,31/08/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Double),,2,0,4,1,2,0.0,0.0,0.0,0.0,01/09/2027,30/11/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Double),,2,5,12,1,2,75.0,150.0,0.0,0.0,01/09/2027,30/11/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Double),,2,13,99,1,2,150.0,150.0,0.0,0.0,01/09/2027,30/11/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Double),,2,0,4,1,2,0.0,0.0,0.0,0.0,01/12/2027,31/12/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Double),,2,5,12,1,2,75.0,150.0,0.0,0.0,01/12/2027,31/12/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Double),,2,13,99,1,2,150.0,150.0,0.0,0.0,01/12/2027,31/12/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Triple),,3,0,4,1,3,0.0,0.0,0.0,0.0,01/01/2027,28/02/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Triple),,3,5,12,1,3,75.0,150.0,0.0,0.0,01/01/2027,28/02/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Triple),,3,13,99,1,3,150.0,150.0,0.0,0.0,01/01/2027,28/02/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Triple),,3,0,4,1,3,0.0,0.0,0.0,0.0,01/03/2027,31/05/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Triple),,3,5,12,1,3,75.0,150.0,0.0,0.0,01/03/2027,31/05/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Triple),,3,13,99,1,3,150.0,150.0,0.0,0.0,01/03/2027,31/05/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Triple),,3,0,4,1,3,0.0,0.0,0.0,0.0,01/06/2027,30/06/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Triple),,3,5,12,1,3,75.0,150.0,0.0,0.0,01/06/2027,30/06/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Triple),,3,13,99,1,3,150.0,150.0,0.0,0.0,01/06/2027,30/06/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Triple),,3,0,4,1,3,0.0,0.0,0.0,0.0,01/07/2027,31/08/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Triple),,3,5,12,1,3,75.0,150.0,0.0,0.0,01/07/2027,31/08/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Triple),,3,13,99,1,3,150.0,150.0,0.0,0.0,01/07/2027,31/08/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Triple),,3,0,4,1,3,0.0,0.0,0.0,0.0,01/09/2027,30/11/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Triple),,3,5,12,1,3,75.0,150.0,0.0,0.0,01/09/2027,30/11/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Triple),,3,13,99,1,3,150.0,150.0,0.0,0.0,01/09/2027,30/11/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Triple),,3,0,4,1,3,0.0,0.0,0.0,0.0,01/12/2027,31/12/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Triple),,3,5,12,1,3,75.0,150.0,0.0,0.0,01/12/2027,31/12/2027
,Foot on Africa Campsite 27,,Test,,0,,USD,Swala Room ( Triple),,3,13,99,1,3,150.0,150.0,0.0,0.0,01/12/2027,31/12/2027
